traditional,simplified,pinyin,cefr_level,part_of_speech,definitions
後,后,hòu,A0,N,back | behind | rear | afterwards | after | later | post-
左,左,zuŏ,A0,N,left | the Left (politics) | east | unorthodox | queer | wrong | differing | opposite | variant of 佐
右,右,yòu,A0,N,(bound form) right |  right-hand side | (bound form) (politics) right of center | (bound form) (old) west | (literary) the right side as the side of precedence
旁,旁,páng,A0,N,"one side | other | different | lateral component of a Chinese character (such as 刂, 亻 etc)"
裡,里,lĭ,A0,N,"li, ancient measure of length, approx. 500 m | neighborhood | ancient administrative unit of 25 families | (Tw) borough, administrative unit between the township 鎮|镇 and neighborhood 鄰|邻 levels"
裏,里,lĭ,A0,N,"li, ancient measure of length, approx. 500 m | neighborhood | ancient administrative unit of 25 families | (Tw) borough, administrative unit between the township 鎮|镇 and neighborhood 鄰|邻 levels"
中,中,zhōng,A0,N,"to hit (the mark) | to be hit by | to suffer | to win (a prize, a lottery)"
地方,地方,dìfāng,A0,N,area | place | space | room | territory
附近,附近,fùjìn,A0,N,nearby |  neighboring | (in the) vicinity (of) |  neighborhood
帶,带,dài,A0,V,band | belt | girdle | ribbon | tire | area | zone | region | to wear | to carry | to take along | to bear (i.e. to have) | to lead | to bring | to look after | to raise
拿,拿,ná,A0,V,to hold | to seize | to catch | to apprehend | to take | (used in the same way as 把: to mark the following noun as a direct object)
站,站,zhàn,A0,Vi,station | to stand | to halt | to stop | branch of a company or organization | website
快,快,kuài,A0,Vs,rapid | quick | speed | rate | soon | almost | to make haste | clever | sharp (of knives or wits) | forthright | plainspoken | gratified | pleased | pleasant
慢,慢,màn,A0,Vs,slow
計程車,计程车,jìchéngchē,A0,N,(Tw) taxi | cab
火車,火车,huŏchē,A0,N,train
飛機,飞机,fēijī,A0,N,airplane
